grid_id,grid_x,grid_y,year,week,week_of_season,fire_count_raw,fire_count_weighted,fire_count_filtered,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fires_last_week,neighbor_fires_last_year,avg_frp,avg_brightness,night_fire_pct,avg_confidence
5_8,5,8,2022,46,7,13.0,7.91,12.0,12.98,11.65,8.450000000000001,110.52,128.23999999999998,7.299230769230769,335.46999999999997,0.0,60.84615384615385
5_8,5,8,2022,47,8,2.0,1.2,2.0,7.91,0.6,6.026666666666666,108.11999999999999,10.669999999999998,7.8950000000000005,340.225,0.0,60.0
5_8,5,8,2022,48,9,0.0,0.0,0.0,1.2,0.0,0.19999999999999998,46.96,0.6,,,,
5_8,5,8,2023,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_8,5,8,2023,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_8,5,8,2023,42,3,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,1.7999999999999998,,,,
5_8,5,8,2023,43,4,1.0,0.6,1.0,0.0,2.11,5.223333333333334,0.0,23.86,3.96,336.46,0.0,60.0
5_8,5,8,2023,44,5,11.0,6.8999999999999995,11.0,0.6,5.3,11.49,13.62,59.14,7.8981818181818175,343.80454545454546,0.0,62.72727272727273
5_8,5,8,2023,45,6,7.0,4.32,7.0,6.8999999999999995,12.98,18.273333333333337,21.259999999999998,110.52,6.118571428571428,330.4985714285714,0.0,61.714285714285715
5_8,5,8,2023,46,7,10.0,5.81,9.0,4.32,7.91,11.086666666666666,43.029999999999994,108.11999999999999,8.431999999999999,333.735,0.0,58.1
5_8,5,8,2023,47,8,5.0,3.27,5.0,5.81,1.2,2.4666666666666663,77.41000000000001,46.96,15.686000000000002,330.61199999999997,0.0,65.4
5_8,5,8,2023,48,9,0.0,0.0,0.0,3.27,0.0,0.19999999999999998,14.33,1.2,,,,
5_9,5,9,2018,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2018,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2018,42,3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.06,331.75,0.0,30.0
5_9,5,9,2018,43,4,8.0,4.88,7.0,0.3,0.0,0.0,21.819999999999997,0.0,15.658750000000001,327.8075,0.0,61.0
5_9,5,9,2018,44,5,33.0,19.96,31.0,4.88,0.0,0.0,109.75,0.0,8.946666666666667,335.74030303030304,0.0,60.484848484848484
5_9,5,9,2018,45,6,62.0,38.97,59.0,19.96,0.0,0.0,189.38,0.0,10.77258064516129,338.49532258064517,0.0,62.854838709677416
5_9,5,9,2018,46,7,29.0,18.09,29.0,38.97,0.0,0.0,197.61,0.0,7.611724137931035,336.3144827586207,0.0,62.37931034482759
5_9,5,9,2018,47,8,5.0,3.04,5.0,18.09,0.0,0.0,84.49000000000001,0.0,5.95,334.964,0.0,60.8
5_9,5,9,2018,48,9,0.0,0.0,0.0,3.04,0.0,0.0,41.75,0.0,,,,
5_9,5,9,2019,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2019,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5_9,5,9,2019,42,3,2.0,1.35,2.0,0.0,0.3,0.3,0.0,21.819999999999997,9.5,318.20000000000005,0.0,67.5
5_9,5,9,2019,43,4,11.0,6.6,11.0,1.35,4.88,4.88,9.52,109.75,8.021818181818182,336.43454545454546,0.0,60.0
5_9,5,9,2019,44,5,9.0,5.77,9.0,6.6,19.96,19.96,53.68000000000001,189.38,10.79,335.10333333333335,0.0,64.11111111111111
5_9,5,9,2019,45,6,23.0,14.37,20.0,5.77,38.97,38.97,85.6,197.61,15.773913043478261,340.5321739130435,0.0,62.47826086956522
5_9,5,9,2019,46,7,0.0,0.0,0.0,14.37,18.09,18.09,71.92,84.49000000000001,,,,
5_9,5,9,2019,47,8,33.0,19.79,29.0,0.0,3.04,3.04,2.4,41.75,11.443333333333333,330.73424242424244,0.0,59.96969696969697
5_9,5,9,2019,48,9,5.0,3.56,5.0,19.79,0.0,0.0,88.08999999999999,1.38,15.842000000000002,324.664,0.0,71.2
5_9,5,9,2020,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
