grid_id,year,week_of_season,fire_count,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fire_count,avg_frp,avg_brightness,night_fire_pct,avg_confidence
30_7,2021,3,3,0.0,4.0,5.666666666666667,21,2.3800000000000003,332.18,0.0,60.0
30_7,2021,5,11,3.0,49.0,33.0,192,8.767272727272728,336.63363636363636,0.0,60.27272727272727
30_7,2021,6,102,11.0,87.0,51.0,755,8.808725490196078,339.5658823529412,0.0,63.11764705882353
30_7,2021,7,24,102.0,7.0,6.0,123,7.736249999999999,338.03749999999997,0.0,61.0
30_7,2022,2,1,0.0,0.0,2.0,4,2.76,333.42,0.0,60.0
30_7,2022,3,6,1.0,3.0,2.6666666666666665,24,6.885000000000001,329.23333333333335,0.0,57.833333333333336
30_7,2022,4,35,6.0,0.0,14.0,315,9.531428571428572,335.2845714285714,0.0,63.42857142857143
30_7,2022,5,104,35.0,11.0,29.333333333333332,409,9.022980769230768,337.9392307692308,0.0,61.34615384615385
30_7,2022,6,6,104.0,102.0,73.33333333333333,52,7.403333333333333,349.0733333333333,0.0,71.16666666666667
30_7,2023,1,3,0.0,0.0,4.0,10,5.6433333333333335,339.99,0.0,60.0
30_7,2023,2,1,3.0,1.0,1.5,15,40.0,339.4,0.0,89.0
30_7,2023,3,5,1.0,6.0,4.333333333333333,12,3.9260000000000006,336.04200000000003,0.0,60.0
30_7,2023,4,11,5.0,35.0,19.0,105,9.51909090909091,331.6236363636363,0.0,64.54545454545455
30_7,2023,5,41,11.0,104.0,54.666666666666664,196,6.9453658536585365,335.4126829268293,0.0,60.58536585365854
30_7,2023,6,33,41.0,6.0,65.0,158,9.186060606060606,342.8312121212121,0.0,64.57575757575758
30_7,2023,7,6,33.0,0.0,11.666666666666666,60,17.603333333333335,332.67,0.0,63.166666666666664
30_8,2018,1,2,0.0,0.0,0.0,9,2.08,329.75,0.0,60.0
30_8,2018,2,1,2.0,0.0,0.0,8,3.75,333.39,0.0,60.0
30_8,2018,4,13,1.0,0.0,0.0,135,9.693846153846154,329.5423076923077,0.0,62.0
30_8,2018,5,27,13.0,0.0,0.0,249,5.29925925925926,335.7474074074074,0.0,60.407407407407405
30_8,2018,6,40,27.0,0.0,0.0,354,10.26475,335.56975,0.0,61.3
30_8,2018,7,23,40.0,0.0,0.0,73,8.576086956521738,338.66956521739127,0.0,62.608695652173914
30_8,2019,2,2,0.0,1.0,1.0,9,3.8,333.01,0.0,60.0
30_8,2019,3,1,2.0,0.0,0.0,16,7.52,354.8,0.0,60.0
30_8,2019,4,12,1.0,13.0,13.0,107,7.260833333333333,336.23083333333335,0.0,60.166666666666664
30_8,2019,5,44,12.0,27.0,27.0,243,8.449545454545454,333.9781818181818,0.0,62.11363636363637
30_8,2019,6,35,44.0,40.0,40.0,283,8.942,337.5545714285714,0.0,67.62857142857143
30_8,2019,8,1,35.0,0.0,0.0,4,6.13,340.15,0.0,60.0
30_8,2020,2,1,0.0,2.0,1.5,10,10.46,355.32,0.0,60.0
30_8,2020,3,2,1.0,1.0,1.0,18,6.43,341.03,0.0,60.0
30_8,2020,4,12,2.0,12.0,12.5,85,7.9816666666666665,336.33666666666664,0.0,59.75
30_8,2020,5,55,12.0,44.0,35.5,447,13.503272727272728,335.41018181818185,0.0,65.8
30_8,2020,6,69,55.0,35.0,37.5,487,7.698260869565217,337.27072463768116,0.0,62.89855072463768
30_8,2020,7,13,69.0,0.0,23.0,86,9.295384615384616,333.80000000000007,0.0,62.69230769230769
30_8,2021,1,2,0.0,0.0,2.0,0,2.7350000000000003,331.4,0.0,60.0
30_8,2021,2,1,2.0,1.0,1.3333333333333333,14,5.68,339.05,0.0,60.0
30_8,2021,3,4,1.0,2.0,1.5,28,2.9575,333.11,0.0,60.0
30_8,2021,5,16,4.0,55.0,42.0,153,9.660625,338.898125,0.0,65.0625
30_8,2021,6,91,16.0,69.0,48.0,772,8.583516483516483,338.8051648351648,0.0,62.043956043956044
30_8,2021,7,26,91.0,13.0,18.0,142,6.338461538461538,333.98692307692306,0.0,61.84615384615385
30_8,2021,8,3,26.0,0.0,1.0,1,6.636666666666667,340.81333333333333,0.0,60.0
30_8,2022,1,1,0.0,2.0,2.0,6,2.65,331.65,0.0,60.0
30_8,2022,3,4,1.0,4.0,2.3333333333333335,29,7.4025,337.205,0.0,60.0
30_8,2022,4,28,4.0,0.0,12.333333333333334,256,11.682142857142859,337.51464285714286,0.0,64.03571428571429
30_8,2022,5,50,28.0,16.0,38.333333333333336,459,8.2382,335.9024,0.0,63.0
30_8,2022,6,13,50.0,91.0,65.0,70,7.089230769230769,335.2753846153846,0.0,61.38461538461539
30_8,2023,1,1,0.0,1.0,1.6666666666666667,17,2.61,335.17,0.0,60.0
30_8,2023,4,22,1.0,28.0,17.333333333333332,110,6.483181818181818,332.4054545454546,0.0,62.59090909090909
30_8,2023,5,33,22.0,50.0,40.333333333333336,216,8.75030303030303,332.6106060606061,0.0,63.15151515151515
30_8,2023,6,26,33.0,13.0,57.666666666666664,176,10.633461538461539,340.6080769230769,0.0,60.34615384615385
30_8,2023,7,13,26.0,0.0,20.666666666666668,76,18.740000000000002,334.6823076923077,0.0,66.92307692307692
30_9,2018,3,1,0.0,0.0,0.0,37,1.7,333.16,0.0,60.0
30_9,2018,5,14,1.0,0.0,0.0,247,6.299285714285714,338.51642857142855,0.0,60.0
30_9,2018,6,27,14.0,0.0,0.0,319,6.194814814814815,339.2,0.0,61.7037037037037
30_9,2018,7,9,27.0,0.0,0.0,92,5.631111111111111,337.7877777777778,0.0,60.0
30_9,2018,8,3,9.0,0.0,0.0,1,5.316666666666666,329.55333333333334,0.0,61.333333333333336
30_9,2019,3,2,0.0,1.0,1.0,13,5.63,324.23,0.0,59.5
30_9,2019,4,8,2.0,0.0,0.0,87,6.82375,333.595,0.0,61.625
30_9,2019,5,11,8.0,14.0,14.0,237,7.365454545454545,336.1809090909091,0.0,61.27272727272727
30_9,2019,6,23,11.0,27.0,27.0,278,13.172173913043478,334.5469565217391,0.0,65.52173913043478
30_9,2020,1,1,0.0,0.0,0.0,0,2.61,332.91,0.0,60.0
30_9,2020,2,1,1.0,0.0,0.0,8,4.37,335.95,0.0,60.0
30_9,2020,3,1,1.0,2.0,1.5,22,5.48,344.73,0.0,60.0
30_9,2020,4,2,1.0,8.0,8.0,76,6.12,334.44,0.0,60.0
30_9,2020,5,44,2.0,11.0,12.5,417,12.435454545454546,335.31613636363636,0.0,64.0
30_9,2020,6,47,44.0,23.0,25.0,442,9.46808510638298,340.03,0.0,61.97872340425532
30_9,2020,7,7,47.0,0.0,9.0,92,10.4,328.73857142857145,0.0,62.857142857142854
30_9,2021,2,2,0.0,1.0,1.0,25,7.37,337.255,0.0,60.0
30_9,2021,3,1,2.0,1.0,1.3333333333333333,32,2.24,337.5,0.0,60.0
30_9,2021,5,5,1.0,44.0,23.0,158,8.048,338.04,0.0,60.0
30_9,2021,6,58,5.0,47.0,32.333333333333336,704,10.370172413793103,338.7565517241379,0.0,62.43103448275862
30_9,2021,7,26,58.0,7.0,8.0,155,9.227307692307692,335.50961538461536,0.0,62.5
